HR,acc_x,acc_y,acc_z,label
74.68,42.0,-1.0,40.0,0
74.72,33.0,1.0,40.0,0
74.75,37.0,40.0,-11.0,0
74.8,27.0,-25.0,80.0,0
74.87,-12.0,-66.0,25.0,0
74.93,24.0,-51.0,55.0,0
74.97,22.0,-41.0,61.0,0
74.97,22.0,7.0,6.0,0
75.03,40.0,50.0,-10.0,0
75.12,62.0,25.0,46.0,0
75.2,44.0,-10.0,43.0,0
75.25,45.0,-11.0,43.0,0
75.3,45.0,-11.0,42.0,0
75.35,45.0,-15.0,42.0,0
75.42,44.0,-14.0,43.0,0
75.6,44.0,-14.0,43.0,0
75.8,44.0,-14.0,43.0,0
75.97,44.0,-14.0,42.0,0
76.13,45.0,-13.0,42.0,0
76.27,45.0,-13.0,42.0,0
76.42,45.0,-13.0,42.0,0
76.42,45.0,-13.0,42.0,0
76.4,46.0,-12.0,42.0,0
76.4,47.0,-9.0,42.0,0
76.38,46.0,-9.0,42.0,0
76.37,46.0,-11.0,42.0,0
76.35,45.0,-13.0,41.0,0
76.35,46.0,-12.0,42.0,0
76.38,45.0,-13.0,42.0,0
76.42,45.0,-12.0,42.0,0
76.47,45.0,-12.0,41.0,0
76.5,44.0,-13.0,41.0,0
76.53,46.0,-9.0,42.0,0
76.58,46.0,-9.0,42.0,0
76.65,46.0,-9.0,41.0,0
76.72,46.0,-11.0,42.0,0
76.78,46.0,-11.0,41.0,0
76.85,37.0,31.0,-25.0,0
76.9,38.0,35.0,-23.0,0
76.87,34.0,-23.0,47.0,0
76.77,33.0,-23.0,47.0,0
76.63,34.0,-23.0,47.0,0
76.53,34.0,-23.0,47.0,0
76.42,37.0,-24.0,47.0,0
76.28,22.0,-31.0,79.0,0
76.22,23.0,-22.0,56.0,0
76.13,22.0,-17.0,69.0,0
75.98,19.0,-19.0,55.0,0
75.92,35.0,-28.0,44.0,0
75.83,37.0,-27.0,43.0,0
75.67,37.0,-28.0,42.0,0
75.62,36.0,-27.0,43.0,0
75.55,37.0,-27.0,44.0,0
75.47,8.0,22.0,54.0,0
75.38,33.0,16.0,41.0,0
75.38,49.0,24.0,33.0,0
75.45,45.0,24.0,28.0,0
75.5,40.0,-30.0,18.0,0
75.6,49.0,20.0,22.0,0
75.7,52.0,32.0,25.0,0
75.75,51.0,33.0,25.0,0
75.78,18.0,36.0,43.0,0
75.77,-15.0,31.0,45.0,0
75.65,35.0,32.0,39.0,0
75.53,32.0,34.0,46.0,0
75.38,23.0,44.0,40.0,0
75.27,30.0,45.0,35.0,0
75.18,38.0,41.0,40.0,0
75.03,25.0,39.0,43.0,0
74.87,30.0,40.0,40.0,0
74.68,36.0,45.0,33.0,0
74.53,18.0,41.0,39.0,0
74.38,29.0,38.0,38.0,0
74.23,34.0,36.0,40.0,0
74.1,33.0,35.0,45.0,0
73.87,27.0,33.0,46.0,0
73.63,40.0,-20.0,29.0,0
73.47,45.0,-20.0,38.0,0
73.27,45.0,-20.0,38.0,0
73.07,67.0,-1.0,13.0,0
72.88,50.0,11.0,50.0,0
72.83,42.0,12.0,48.0,0
72.75,44.0,10.0,50.0,0
72.68,32.0,4.0,50.0,0
72.65,51.0,-10.0,35.0,0
72.7,55.0,-16.0,-14.0,0
72.73,64.0,-16.0,-3.0,0
72.72,62.0,-13.0,0.0,0
72.73,59.0,-13.0,-18.0,0
72.75,58.0,-14.0,-17.0,0
72.73,58.0,-13.0,-16.0,0
72.73,59.0,-14.0,-16.0,0
72.7,60.0,-13.0,-16.0,0
72.65,60.0,-14.0,-16.0,0
72.6,59.0,-13.0,-17.0,0
72.57,60.0,-12.0,-16.0,0
72.53,60.0,-12.0,-14.0,0
72.5,61.0,-12.0,-8.0,0
72.55,61.0,-14.0,-5.0,0
72.65,63.0,-12.0,-6.0,0
72.77,59.0,-12.0,-13.0,0
73.0,60.0,-14.0,3.0,0
73.17,60.0,-11.0,-18.0,0
73.33,59.0,-11.0,-21.0,0
73.52,62.0,-11.0,-21.0,0
73.53,64.0,-12.0,-10.0,0
73.62,51.0,-9.0,-36.0,0
73.77,54.0,-9.0,-17.0,0
73.87,63.0,-14.0,1.0,0
74.02,60.0,-13.0,-5.0,0
74.18,60.0,-13.0,-9.0,0
74.37,61.0,-12.0,-14.0,0
74.57,61.0,-12.0,-13.0,0
74.77,61.0,-13.0,-11.0,0
74.95,60.0,-11.0,-8.0,0
75.12,60.0,-11.0,-13.0,0
75.2,68.0,-17.0,3.0,0
75.23,65.0,-15.0,-7.0,0
75.23,65.0,-10.0,-7.0,0
75.18,64.0,-8.0,-11.0,0
75.1,62.0,-9.0,-3.0,0
75.02,65.0,-7.0,-10.0,0
75.0,71.0,-11.0,-12.0,0
75.02,63.0,-8.0,-9.0,0
75.03,27.0,30.0,28.0,0
75.05,31.0,38.0,46.0,0
75.03,49.0,35.0,19.0,0
75.03,-26.0,25.0,65.0,0
75.05,62.0,25.0,10.0,0
75.0,52.0,23.0,27.0,0
74.93,52.0,23.0,28.0,0
75.03,52.0,23.0,28.0,0
75.08,52.0,23.0,28.0,0
75.13,52.0,23.0,28.0,0
75.17,51.0,24.0,29.0,0
75.05,51.0,23.0,28.0,0
74.97,46.0,41.0,28.0,0
74.87,20.0,35.0,37.0,0
74.8,32.0,41.0,42.0,0
74.77,-2.0,37.0,48.0,0
74.7,42.0,37.0,18.0,0
74.62,28.0,25.0,61.0,0
74.62,49.0,24.0,44.0,0
74.58,48.0,19.0,32.0,0
74.53,38.0,36.0,38.0,0
74.4,55.0,-32.0,44.0,1
74.28,42.0,-17.0,42.0,1
74.17,41.0,-22.0,42.0,1
74.07,42.0,-21.0,41.0,1
74.0,42.0,-22.0,41.0,1
73.93,42.0,-22.0,41.0,1
73.87,42.0,-22.0,41.0,1
73.83,42.0,-22.0,40.0,1
73.98,42.0,-22.0,41.0,1
74.1,43.0,-22.0,40.0,1
74.23,43.0,-21.0,40.0,1
74.4,42.0,-23.0,41.0,1
74.57,44.0,-24.0,41.0,1
74.78,49.0,8.0,56.0,1
74.97,39.0,18.0,44.0,1
75.17,45.0,-3.0,44.0,1
75.25,42.0,29.0,-37.0,1
75.38,58.0,18.0,-20.0,1
75.53,49.0,17.0,-24.0,1
75.7,30.0,15.0,49.0,1
76.05,26.0,5.0,60.0,1
76.28,9.0,2.0,61.0,1
76.45,44.0,17.0,30.0,1
76.65,54.0,5.0,25.0,1
76.87,35.0,50.0,-5.0,1
77.08,69.0,20.0,19.0,1
77.3,81.0,22.0,24.0,1
77.52,78.0,-6.0,30.0,1
77.73,52.0,18.0,42.0,1
78.02,-10.0,41.0,31.0,1
78.28,34.0,-10.0,66.0,1
78.57,61.0,-12.0,15.0,1
78.85,54.0,-20.0,11.0,1
79.13,69.0,-6.0,5.0,1
79.48,65.0,-4.0,3.0,1
79.88,61.0,16.0,5.0,1
80.32,53.0,8.0,28.0,1
80.72,31.0,7.0,61.0,1
81.13,58.0,11.0,22.0,1
81.62,-13.0,-4.0,57.0,1
82.12,-12.0,1.0,63.0,1
82.68,-12.0,1.0,62.0,1
83.27,-11.0,0.0,62.0,1
83.82,-9.0,1.0,63.0,1
84.43,-7.0,0.0,63.0,1
85.07,-6.0,0.0,63.0,1
85.57,35.0,39.0,25.0,1
86.12,53.0,14.0,31.0,1
86.72,50.0,20.0,33.0,1
87.37,51.0,8.0,40.0,1
88.18,40.0,13.0,54.0,1
88.9,14.0,13.0,58.0,1
89.55,20.0,12.0,62.0,1
90.22,14.0,11.0,62.0,1
90.98,14.0,10.0,61.0,1
91.72,18.0,10.0,60.0,1
92.47,20.0,11.0,59.0,1
93.2,20.0,11.0,58.0,1
93.9,19.0,11.0,58.0,1
94.63,21.0,11.0,59.0,1
95.38,20.0,12.0,58.0,1
96.12,21.0,12.0,58.0,1
96.8,21.0,11.0,59.0,1
97.4,21.0,12.0,59.0,1
98.12,21.0,12.0,59.0,1
98.87,21.0,11.0,58.0,1
99.43,21.0,11.0,58.0,1
99.98,20.0,11.0,58.0,1
100.2,21.0,11.0,58.0,1
100.35,21.0,11.0,58.0,1
100.37,21.0,11.0,58.0,1
100.35,21.0,11.0,58.0,1
100.25,21.0,11.0,58.0,1
100.17,21.0,11.0,58.0,1
100.05,21.0,11.0,58.0,1
99.85,66.0,9.0,-6.0,1
99.67,60.0,20.0,11.0,1
99.52,52.0,16.0,34.0,1
99.42,52.0,16.0,32.0,1
99.32,54.0,16.0,31.0,1
99.18,69.0,-16.0,0.0,1
99.13,15.0,34.0,48.0,1
99.1,53.0,40.0,-1.0,1
99.02,57.0,29.0,10.0,1
98.93,55.0,27.0,22.0,1
98.85,54.0,26.0,22.0,1
98.77,54.0,26.0,22.0,1
98.68,53.0,26.0,21.0,1
98.67,54.0,26.0,21.0,1
98.63,55.0,29.0,21.0,1
98.65,52.0,28.0,25.0,1
98.68,51.0,27.0,25.0,1
98.73,37.0,29.0,26.0,1
98.75,49.0,36.0,19.0,1
98.73,50.0,35.0,27.0,1
98.7,38.0,31.0,40.0,1
98.6,43.0,27.0,38.0,1
98.53,45.0,27.0,35.0,1
98.43,46.0,26.0,34.0,1
98.25,46.0,26.0,34.0,1
98.08,48.0,26.0,34.0,1
97.87,52.0,25.0,26.0,1
97.65,53.0,25.0,26.0,1
97.42,53.0,25.0,25.0,1
97.23,53.0,25.0,25.0,1
97.02,52.0,25.0,25.0,1
96.72,52.0,25.0,26.0,1
96.17,52.0,25.0,25.0,1
95.45,52.0,25.0,26.0,1
94.67,52.0,25.0,25.0,1
93.85,52.0,25.0,26.0,1
93.07,53.0,26.0,25.0,1
92.37,55.0,26.0,27.0,1
91.67,35.0,33.0,39.0,1
90.85,33.0,37.0,33.0,1
90.13,47.0,29.0,33.0,1
89.42,44.0,31.0,29.0,1
88.75,51.0,30.0,21.0,1
88.17,47.0,31.0,29.0,1
87.5,49.0,31.0,25.0,1
86.85,49.0,31.0,25.0,1
86.22,49.0,31.0,25.0,1
85.67,48.0,32.0,27.0,1
85.13,32.0,40.0,35.0,1
84.43,34.0,39.0,37.0,1
83.7,37.0,38.0,35.0,1
83.17,38.0,38.0,35.0,1
82.67,38.0,38.0,34.0,1
82.3,38.0,38.0,35.0,1
82.02,38.0,38.0,34.0,1
81.83,39.0,37.0,33.0,1
81.65,39.0,37.0,33.0,1
81.53,39.0,37.0,33.0,1
81.22,39.0,37.0,33.0,1
80.95,39.0,37.0,33.0,1
80.77,40.0,37.0,32.0,1
80.58,39.0,37.0,33.0,1
80.4,40.0,37.0,33.0,1
80.17,40.0,37.0,33.0,1
79.92,40.0,37.0,33.0,1
79.6,40.0,37.0,33.0,1
79.25,40.0,37.0,33.0,1
78.92,39.0,37.0,33.0,1
78.62,41.0,36.0,33.0,1
78.28,40.0,37.0,33.0,1
77.97,40.0,37.0,33.0,1
77.67,40.0,37.0,33.0,1
77.37,40.0,37.0,33.0,1
77.03,40.0,37.0,32.0,1
76.68,40.0,37.0,33.0,1
76.27,40.0,36.0,33.0,1
75.85,41.0,37.0,32.0,1
75.45,40.0,36.0,33.0,1
75.08,41.0,37.0,32.0,1
74.72,32.0,35.0,27.0,1
74.35,9.0,8.0,59.0,1
74.03,1.0,13.0,59.0,1
73.75,5.0,2.0,54.0,1
73.5,69.0,-4.0,-2.0,1
73.22,55.0,23.0,11.0,1
72.93,50.0,29.0,29.0,1
72.67,50.0,32.0,26.0,1
72.37,42.0,35.0,31.0,1
72.1,43.0,33.0,36.0,1
71.77,45.0,32.0,29.0,1
71.43,47.0,32.0,30.0,1
71.12,47.0,32.0,32.0,1
71.05,47.0,32.0,27.0,1
71.12,66.0,11.0,-8.0,1
71.32,58.0,30.0,-5.0,1
71.52,20.0,17.0,52.0,1
71.77,-33.0,9.0,48.0,1
71.92,25.0,7.0,60.0,1
72.5,34.0,41.0,-39.0,1
73.1,95.0,15.0,23.0,1
73.63,47.0,26.0,29.0,1
74.17,50.0,24.0,32.0,1
74.63,40.0,29.0,38.0,1
75.03,38.0,30.0,41.0,1
75.48,26.0,25.0,49.0,1
75.88,54.0,20.0,42.0,1
76.27,52.0,21.0,31.0,1
76.65,51.0,21.0,30.0,1
77.05,51.0,21.0,31.0,1
77.45,51.0,22.0,30.0,1
77.48,52.0,22.0,31.0,1
77.5,52.0,22.0,30.0,1
77.48,51.0,22.0,30.0,1
77.47,56.0,24.0,15.0,1
77.45,56.0,23.0,22.0,1
77.42,62.0,32.0,33.0,1
77.42,43.0,19.0,33.0,1
77.43,59.0,22.0,7.0,1
77.52,59.0,25.0,12.0,1
77.57,18.0,20.0,59.0,1
77.63,51.0,28.0,22.0,1
77.67,42.0,35.0,29.0,1
77.68,42.0,34.0,32.0,1
77.7,42.0,34.0,32.0,1
77.72,42.0,34.0,33.0,1
77.73,42.0,34.0,34.0,1
77.77,40.0,34.0,35.0,1
77.8,41.0,34.0,35.0,1
77.83,42.0,34.0,33.0,1
77.87,42.0,34.0,33.0,1
77.88,42.0,34.0,33.0,1
77.92,43.0,35.0,34.0,1
77.95,42.0,34.0,33.0,1
77.95,47.0,24.0,36.0,1
77.95,52.0,14.0,24.0,1
77.93,52.0,25.0,25.0,1
77.9,57.0,25.0,19.0,1
77.88,56.0,25.0,18.0,1
77.87,55.0,25.0,17.0,1
77.85,55.0,25.0,18.0,1
77.85,56.0,24.0,18.0,1
77.87,56.0,24.0,17.0,1
77.83,56.0,25.0,18.0,1
77.8,56.0,24.0,18.0,1
77.78,55.0,24.0,18.0,1
77.75,54.0,25.0,21.0,1
77.67,54.0,25.0,20.0,1
77.58,54.0,25.0,20.0,1
77.5,53.0,27.0,21.0,1
77.42,52.0,29.0,22.0,1
77.38,52.0,29.0,23.0,1
77.37,52.0,31.0,21.0,1
77.37,44.0,30.0,25.0,1
77.37,57.0,23.0,21.0,1
77.27,56.0,25.0,20.0,1
77.18,54.0,25.0,20.0,1
77.08,54.0,25.0,20.0,1
77.1,54.0,25.0,20.0,1
76.68,54.0,25.0,20.0,1
76.27,54.0,26.0,20.0,1
75.87,54.0,25.0,20.0,1
75.45,54.0,25.0,20.0,1
75.03,54.0,26.0,20.0,1
74.62,54.0,25.0,20.0,1
74.15,54.0,25.0,20.0,1
73.73,55.0,25.0,20.0,1
73.33,54.0,25.0,20.0,1
72.95,54.0,25.0,20.0,1
72.53,54.0,25.0,20.0,1
72.13,54.0,26.0,20.0,1
72.13,54.0,26.0,20.0,1
72.1,55.0,25.0,20.0,1
72.07,54.0,25.0,20.0,1
72.05,55.0,26.0,20.0,1
72.03,54.0,26.0,20.0,1
72.03,54.0,26.0,20.0,1
72.02,53.0,26.0,20.0,1
72.02,54.0,25.0,20.0,1
72.05,54.0,26.0,20.0,1
72.08,54.0,26.0,20.0,1
72.1,54.0,26.0,21.0,1
72.15,54.0,26.0,20.0,1
72.18,55.0,25.0,20.0,1
72.22,53.0,26.0,19.0,1
72.25,60.0,24.0,5.0,1
72.28,52.0,23.0,27.0,1
72.28,53.0,23.0,25.0,1
72.25,53.0,23.0,25.0,1
72.25,53.0,23.0,25.0,1
72.28,53.0,23.0,25.0,1
72.33,54.0,23.0,25.0,1
72.35,54.0,23.0,25.0,1
72.35,53.0,23.0,25.0,1
72.35,54.0,24.0,25.0,1
72.3,53.0,23.0,25.0,1
72.25,54.0,24.0,25.0,1
72.23,53.0,24.0,24.0,1
72.22,53.0,24.0,25.0,1
72.22,54.0,24.0,22.0,1
72.23,55.0,25.0,18.0,1
72.27,49.0,31.0,23.0,1
72.28,50.0,31.0,24.0,1
72.32,50.0,31.0,23.0,1
72.35,50.0,31.0,24.0,1
72.42,50.0,31.0,24.0,1
72.5,50.0,31.0,24.0,1
72.62,50.0,31.0,24.0,1
72.72,50.0,31.0,23.0,1
72.72,50.0,31.0,24.0,1
72.72,50.0,31.0,24.0,1
72.68,50.0,30.0,24.0,1
72.68,51.0,30.0,24.0,1
72.7,50.0,22.0,16.0,1
72.77,59.0,11.0,22.0,1
72.83,59.0,18.0,16.0,1
72.92,62.0,18.0,-7.0,1
73.02,59.0,19.0,1.0,1
73.13,60.0,19.0,1.0,1
73.28,59.0,21.0,8.0,1
73.43,8.0,-2.0,69.0,1
73.57,-1.0,1.0,61.0,1
73.73,58.0,6.0,-7.0,1
73.93,51.0,0.0,32.0,1
74.13,54.0,11.0,24.0,1
74.45,58.0,11.0,25.0,1
74.62,57.0,11.0,27.0,1
74.87,11.0,0.0,66.0,1
75.23,0.0,5.0,66.0,1
75.6,-2.0,4.0,63.0,1
75.97,13.0,7.0,59.0,1
76.33,-2.0,6.0,61.0,1
76.7,64.0,10.0,-14.0,1
77.13,62.0,-15.0,-9.0,1
77.65,50.0,-11.0,-40.0,1
78.15,53.0,12.0,29.0,1
78.67,44.0,28.0,29.0,1
79.17,49.0,29.0,28.0,1
79.65,48.0,29.0,28.0,1
80.1,49.0,28.0,30.0,1
80.57,16.0,7.0,64.0,1
80.92,-9.0,0.0,69.0,1
81.25,66.0,-8.0,-15.0,1
81.6,63.0,13.0,-12.0,1
81.95,55.0,24.0,17.0,1
82.27,58.0,24.0,17.0,1
82.63,57.0,23.0,16.0,1
83.03,57.0,23.0,17.0,1
83.42,56.0,23.0,16.0,1
83.78,33.0,16.0,50.0,1
84.08,2.0,10.0,63.0,1
84.33,57.0,-4.0,-14.0,1
84.57,72.0,11.0,-1.0,1
84.88,55.0,24.0,23.0,1
85.2,55.0,23.0,23.0,1
85.52,54.0,23.0,23.0,1
85.92,54.0,23.0,23.0,1
86.27,54.0,23.0,22.0,1
86.67,55.0,23.0,22.0,1
87.0,54.0,23.0,23.0,1
87.48,54.0,23.0,23.0,1
88.32,54.0,23.0,23.0,1
89.17,54.0,23.0,24.0,1
89.97,50.0,17.0,42.0,1
90.87,25.0,16.0,52.0,1
91.77,51.0,10.0,5.0,1
92.7,62.0,-8.0,4.0,1
93.62,45.0,22.0,28.0,1
94.62,56.0,22.0,23.0,1
95.73,55.0,22.0,22.0,1
96.85,55.0,22.0,22.0,1
98.0,55.0,23.0,21.0,1
99.12,55.0,23.0,22.0,1
100.2,56.0,24.0,24.0,1
101.22,8.0,7.0,65.0,1
102.22,50.0,13.0,24.0,1
103.22,65.0,-7.0,-15.0,1
104.25,54.0,21.0,25.0,1
105.23,53.0,22.0,25.0,1
106.22,54.0,22.0,26.0,1
107.2,54.0,21.0,25.0,1
108.22,54.0,21.0,24.0,1
109.22,54.0,21.0,25.0,1
110.15,54.0,21.0,25.0,1
111.08,54.0,21.0,24.0,1
111.93,54.0,21.0,24.0,1
112.88,54.0,21.0,25.0,1
113.78,54.0,22.0,24.0,1
114.55,70.0,9.0,26.0,1
115.3,14.0,15.0,61.0,1
116.1,-2.0,11.0,59.0,1
116.88,63.0,-7.0,4.0,1
117.73,39.0,23.0,28.0,1
118.52,55.0,23.0,22.0,1
118.77,55.0,22.0,21.0,1
119.03,50.0,22.0,25.0,1
119.28,36.0,2.0,48.0,1
119.5,25.0,14.0,55.0,1
119.75,37.0,13.0,46.0,1
120.02,62.0,-1.0,-26.0,1
120.23,67.0,2.0,-1.0,1
120.62,58.0,19.0,17.0,1
121.03,57.0,18.0,20.0,1
121.42,57.0,18.0,20.0,1
121.87,59.0,17.0,14.0,1
122.35,58.0,18.0,17.0,1
122.8,58.0,17.0,18.0,1
122.85,59.0,17.0,17.0,1
122.95,57.0,18.0,17.0,1
123.0,57.0,19.0,19.0,1
122.65,57.0,19.0,19.0,1
122.32,57.0,19.0,19.0,1
122.07,57.0,19.0,19.0,1
121.72,57.0,18.0,19.0,1
121.4,57.0,18.0,19.0,1
121.1,57.0,19.0,19.0,1
120.73,57.0,19.0,20.0,1
120.4,58.0,18.0,20.0,1
120.02,59.0,19.0,17.0,1
119.68,58.0,20.0,15.0,1
119.18,61.0,20.0,16.0,1
118.32,58.0,13.0,24.0,1
117.43,53.0,17.0,29.0,1
116.55,54.0,18.0,30.0,1
115.57,38.0,18.0,48.0,1
114.57,14.0,12.0,58.0,1
113.5,71.0,-7.0,-6.0,1
112.38,72.0,5.0,-9.0,1
111.13,57.0,19.0,26.0,1
109.88,55.0,18.0,26.0,1
108.62,55.0,18.0,25.0,1
107.33,55.0,18.0,25.0,1
106.05,56.0,18.0,25.0,1
104.8,55.0,18.0,24.0,1
103.57,57.0,17.0,24.0,1
102.35,56.0,17.0,24.0,1
101.12,56.0,17.0,24.0,1
99.85,55.0,16.0,25.0,1
98.53,47.0,7.0,35.0,1
97.15,20.0,14.0,60.0,1
95.88,69.0,6.0,-14.0,1
94.58,76.0,0.0,-26.0,1
93.32,57.0,17.0,23.0,1
92.03,58.0,16.0,20.0,1
90.78,58.0,16.0,20.0,1
89.55,58.0,16.0,20.0,1
88.33,58.0,17.0,20.0,1
87.08,58.0,17.0,20.0,1
85.85,58.0,16.0,20.0,1
84.63,58.0,17.0,20.0,1
83.38,57.0,17.0,20.0,1
82.08,57.0,16.0,21.0,1
80.68,57.0,17.0,23.0,1
79.37,57.0,16.0,22.0,1
78.52,57.0,16.0,22.0,1
77.72,57.0,16.0,23.0,1
76.9,58.0,16.0,23.0,1
76.15,57.0,16.0,22.0,1
75.38,57.0,16.0,22.0,1
74.62,57.0,16.0,22.0,1
73.88,56.0,16.0,21.0,1
73.1,57.0,16.0,22.0,1
72.3,57.0,17.0,23.0,1
71.55,57.0,16.0,24.0,1
70.73,56.0,16.0,23.0,1
69.93,56.0,16.0,23.0,1
69.12,56.0,16.0,23.0,1
68.68,57.0,16.0,23.0,1
68.23,56.0,16.0,23.0,1
67.8,57.0,16.0,23.0,1
67.78,56.0,17.0,23.0,1
67.78,56.0,19.0,24.0,1
67.72,56.0,19.0,24.0,1
67.68,56.0,19.0,23.0,1
67.65,56.0,19.0,23.0,1
